Name,Nom_couran,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,TOTAL_ha
MSAADA,,328.66826266721233,328.66826266721233,328.66826266721233,231.66490376542635,115.65902871528175,460.7461273493988,460.7461273493988,460.74612734939876,460.7461273493988,259.7342318613448,174.84962716466572,300.58891549251774,300.5889154925178,300.58891549251774,300.5889154925178,1207.3897162338676,1105.748804766774,1440.5359827648206,1440.5359827648206,1440.5359827648206,1440.5359827648206,12888.535202935947
BENI MALEK,,590.4435097906613,590.4435097906613,590.4435097906613,938.0109936446607,440.5078363319666,472.9433904208074,472.94339042080753,472.94339042080753,472.94339042080736,822.7062163755054,451.55573814798987,476.6252650022857,476.62526500228586,476.62526500228586,476.62526500228586,766.055019640347,728.6423336437988,744.9750771607762,744.9750771607762,744.9750771607762,744.9750771607762,12696.98359749173
TEKNA,,463.4418364381559,463.4418364381558,463.4418364381559,712.3306039492498,259.482845220325,988.9546387362972,988.9546387362968,988.9546387362972,988.9546387362972,363.71720692685597,187.93740573702942,406.5401684133851,406.5401684133851,406.5401684133851,406.5401684133851,321.6717461916217,167.58096776835123,510.7479711749867,510.7479711749867,510.7479711749867,510.74797117498656,11028.01739840658
OULAD SLAMA,,496.57230954186537,496.57230954186537,496.57230954186525,513.159455957151,514.0937271530091,514.0937271530091,514.0937271530091,514.0937271530091,514.0937271530091,416.06494116303094,516.5189806828877,516.5189806828877,516.5189806828877,516.5189806828876,516.5189806828877,412.0450658173805,591.2399385250914,591.2399385250915,591.2399385250914,591.2399385250915,591.2399385250914,10940.249623368101
SIDI MOHAMED LAHMAR,,354.8359919812611,354.83599198126103,354.83599198126103,571.524402479643,340.0342886493757,340.0342886493757,340.0342886493757,340.0342886493757,340.0342886493757,520.1065936259193,382.3781739348767,382.3781739348767,382.3781739348767,382.3781739348767,382.3781739348767,962.6998620608939,837.7066368624219,837.7066368624219,837.7066368624219,837.7066368624219,837.706636862422,10919.434331343611
SELFAT,,368.01926054059203,368.01926054059203,368.01926054059203,1180.9031882139798,409.9742677664723,947.9835490605492,947.9835490605494,947.9835490605492,947.9835490605492,455.84073944158814,331.0010690186864,378.1482042249612,378.1482042249612,378.1482042249612,378.1482042249612,443.74146022200034,119.78099231503953,372.7289730777996,372.7289730777996,372.7289730777996,372.7289730777996,10840.74240405278
SIDI MHAMED CHELH,,301.7402793930472,301.7402793930473,301.7402793930473,220.2820270021087,124.42598534681132,461.95346959104046,461.95346959104046,461.95346959104046,461.95346959104046,188.38667765149884,86.05718229778213,319.97971954757395,319.979719547574,319.979719547574,319.97971954757406,541.8539562174838,456.3171829463465,1250.2494723969942,1250.2494723969942,1250.249472396994,1250.249472396994,10651.274495783608
BNI OUAL,,665.7617469713038,665.7617469713036,665.7617469713036,518.486073259397,207.76273305239206,812.0952935590797,812.0952935590797,812.0952935590797,812.0952935590797,451.31232153177893,70.7958865912703,479.8216299252619,479.8216299252618,479.8216299252619,479.8216299252618,347.02166331893613,133.31091191878974,437.73832370587513,437.73832370587525,437.73832370587513,437.73832370587513,10644.59581934734
SIDI TAIBI,,994.4963435203043,994.4963435203043,994.4963435203042,441.99819547528426,425.4867732702637,425.4867732702637,425.4867732702637,425.4867732702637,425.4867732702637,180.8555130393952,625.1210118709909,625.1210118709909,625.1210118709909,625.1210118709909,625.1210118709909,223.9967015341366,278.33916446138267,278.33916446138267,278.33916446138267,278.33916446138267,278.33916446138267,10475.074188622913
SOUK TLET EL GHARB,,307.54161021592074,307.54161021592074,307.54161021592074,641.7031101801733,311.0857746371162,311.0857746371162,311.0857746371162,311.0857746371162,311.0857746371162,600.2143754810767,328.91390301696765,328.9139030169677,328.9139030169677,328.91390301696777,328.91390301696777,858.6009861901257,839.3285125506951,839.3285125506952,839.3285125506952,839.3285125506951,839.3285125506951,10419.784253523036
