Name,Nom_couran,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,TOTAL_ha
MSAADA,,259.7342318613449,174.8496271646657,300.58891549251774,300.58891549251774,300.58891549251774,300.5889154925178,1207.3897162338676,1105.7538440529856,1440.5359827648206,1440.5359827648206,1440.5359827648206,1440.5359827648206,1376.145621588111,1045.994668967393,1511.6813466528674,1511.681346652868,1511.681346652868,1511.681346652868,1111.6797422699335,965.0648556563312,1082.422578356802,1082.422578356802,1082.422578356802,1082.422578356802,618.1704996815758,216.85033482796467,705.4008345187436,705.4008345187436,705.4008345187436,705.4008345187436,705.4008345187436,28949.552607965932
HADDADA,,325.9097132818125,856.5224871010216,856.5224871010216,856.5224871010216,856.5224871010216,856.5224871010216,447.88717570576983,424.76093653915103,424.76093653915103,424.76093653915115,424.76093653915115,424.76093653915103,657.7328951719517,534.4180788628432,534.4180788628432,534.4180788628433,534.4180788628432,534.4180788628433,796.9666675436341,1199.1304373141177,1199.130437314118,1199.130437314118,1199.130437314118,1199.130437314118,1743.5426515109189,1422.7008050144573,1422.700805014457,1422.7008050144573,1422.700805014457,1422.7008050144573,1422.7008050144573,27582.4036323865
MNASRA,,497.00407075538783,717.1736309299365,717.1736309299365,717.1736309299364,717.1736309299365,717.1736309299364,473.3512068672809,609.7272156548953,609.7272156548953,609.7272156548953,609.7272156548953,609.7272156548953,1018.7662849136892,825.1322967225078,825.1322967225078,825.1322967225078,825.1322967225078,825.1322967225078,998.0419172118062,1130.4900179952463,1130.4900179952463,1130.4900179952463,1130.4900179952463,1130.4900179952463,1499.395427524905,1058.1235777642223,1058.1235777642223,1058.1235777642223,1058.1235777642223,1058.1235777642223,1058.1235777642225,27247.916180371325
TAOUGHILT,,422.8529682218784,189.90420883909937,484.9418238116096,484.94182381160965,484.9418238116096,484.9418238116096,575.3263327234963,208.93513905851475,702.7816215987862,702.7816215987862,702.7816215987862,702.7816215987862,686.067934567177,289.46221690842566,686.139289005151,686.139289005151,686.1392890051509,686.139289005151,928.241120929721,587.7991829380051,1033.8322673083019,1033.8322673083019,1033.8322673083017,1033.8322673083017,1574.286254651058,664.746851443637,1680.621096821995,1680.621096821995,1680.621096821995,1680.621096821995,1680.621096821995,26161.507701286388
BENI MALEK,,822.7062163755054,451.55573814798987,476.62526500228586,476.62526500228586,476.6252650022857,476.62526500228586,766.055019640347,728.3352128229477,744.9750771607762,744.9750771607762,744.9750771607762,744.9750771607762,1692.9500276857618,817.3575880973189,834.3059830254051,834.3059830254051,834.3059830254051,834.3059830254051,1503.383255036549,867.0749639407528,902.7953702717382,902.7953702717382,902.7953702717384,902.7953702717384,1828.516580224945,567.3017169385005,636.0169596140663,636.0169596140664,636.0169596140664,636.0169596140663,636.0169596140664,25060.127898821775
DAR LAASLOUJI,,375.0150973528813,354.53302232869464,413.8374560422889,413.837456042289,413.837456042289,413.8374560422889,891.9350198218132,1018.296631111139,1218.8881497594496,1218.8881497594496,1218.8881497594493,1218.8881497594493,1298.8994195359412,1027.9544162679395,1277.974344949532,1277.974344949532,1277.974344949532,1277.974344949532,881.1823552788946,711.7636795232436,739.43595103518,739.43595103518,739.4359510351801,739.43595103518,836.687104555317,259.8218198898615,553.3411651260675,553.3411651260675,553.3411651260675,553.3411651260675,553.3411651260675,25023.337998441864
ZAGOTTA,,163.7665913200109,105.40814486530378,664.6367593470318,664.6367593470317,664.6367593470318,664.6367593470317,140.47854805520453,37.50062669358198,605.1671390539909,605.1671390539909,605.1671390539909,605.1671390539909,298.2180563186825,58.45631688756606,562.3447060495295,562.3447060495293,562.3447060495293,562.3447060495293,402.3610844934441,499.3833039355109,1143.831806989866,1143.831806989866,1143.8318069898655,1143.8318069898655,1098.8668379402309,359.5349524449247,1985.4998752409208,1985.4998752409213,1985.4998752409208,1985.4998752409213,1985.4998752409213,24995.395484920737
BAB TIOUKA,,258.04975394737096,158.56289646549,604.5467377594952,604.5467377594952,604.5467377594953,604.5467377594953,204.10277007234458,67.41075402595071,553.6831024261235,553.6831024261234,553.6831024261235,553.6831024261235,365.98151921539915,88.30575282349828,602.4805907008392,602.4805907008392,602.4805907008391,602.4805907008391,506.8689361577889,515.8933440606809,1021.2015347677076,1021.2015347677076,1021.2015347677075,1021.2015347677075,1317.101355812617,501.1127473592362,1773.4647951982208,1773.4647951982208,1773.4647951982208,1773.4647951982208,1773.4647951982208,23978.361668548154
TEKNA,,363.71720692685597,187.93740573702942,406.54016841338506,406.5401684133851,406.5401684133851,406.5401684133851,321.6717461916217,125.26821176733876,510.7479711749867,510.7479711749867,510.7479711749867,510.7479711749867,586.7506950036263,322.0263095161947,748.6618936231425,748.6618936231424,748.6618936231425,748.6618936231424,871.8423238055183,709.646444105847,1007.9159072392484,1007.9159072392484,1007.9159072392484,1007.9159072392484,1406.194718790511,619.3421432204661,1509.4090116088391,1509.4090116088387,1509.4090116088391,1509.4090116088391,1509.4090116088387,23756.906024912252
SIDI MHAMED CHELH,,188.38667765149884,86.05718229778216,319.97971954757395,319.97971954757395,319.979719547574,319.97971954757395,541.8539562174838,567.6092718925087,1250.2494723969942,1250.249472396994,1250.249472396994,1250.2494723969942,737.0157049823117,483.09891187069167,954.2865627667833,954.2865627667833,954.2865627667833,954.2865627667835,487.1453301866838,422.04550339475145,582.9086006085683,582.9086006085683,582.9086006085683,582.9086006085683,647.7965227653355,333.7868184945619,914.5455797550816,914.5455797550816,914.5455797550816,914.5455797550816,914.5455797550816,21497.2211998087
